"Date","Price","Open","High","Low","Vol.","Change %"
"02/28/2025","7.2828","7.2897","7.2910","7.2783","","-0.03%"
"02/27/2025","7.2853","7.2640","7.2872","7.2595","","0.36%"
"02/26/2025","7.2595","7.2518","7.2619","7.2513","","0.11%"
"02/25/2025","7.2512","7.2606","7.2661","7.2520","","0.05%"
"02/24/2025","7.2476","7.2487","7.2522","7.2288","","-0.03%"
"02/21/2025","7.2501","7.2563","7.2574","7.2372","","-0.07%"
"02/20/2025","7.2555","7.2838","7.2838","7.2563","","-0.38%"
"02/19/2025","7.2833","7.2800","7.2867","7.2800","","0.06%"
"02/18/2025","7.2786","7.2685","7.2827","7.2685","","0.22%"
"02/17/2025","7.2629","7.2480","7.2651","7.2442","","0.14%"
"02/14/2025","7.2530","7.2788","7.2901","7.2531","","-0.49%"
"02/13/2025","7.2888","7.3082","7.3084","7.2830","","-0.27%"
"02/12/2025","7.3088","7.3086","7.3098","7.3074","","0.02%"
"02/11/2025","7.3072","7.3085","7.3087","7.3040","","0.04%"
"02/10/2025","7.3045","7.3028","7.3088","7.3027","","0.22%"
"02/07/2025","7.2882","7.2878","7.2908","7.2827","","0.00%"
"02/06/2025","7.2883","7.2777","7.2936","7.2725","","0.22%"
"02/05/2025","7.2720","7.2779","7.2859","7.2677","","0.29%"
"02/04/2025","7.2507","7.2507","7.2507","7.2507","","0.00%"
"02/03/2025","7.2507","7.2507","7.2507","7.2507","","0.00%"
"01/31/2025","7.2507","7.2507","7.2507","7.2507","","0.00%"
"01/30/2025","7.2507","7.2507","7.2507","7.2507","","0.00%"
"01/29/2025","7.2507","7.2507","7.2507","7.2507","","0.00%"
"01/28/2025","7.2507","7.2507","7.2507","7.2507","","0.00%"
"01/27/2025","7.2507","7.2549","7.2676","7.2514","","0.09%"
"01/24/2025","7.2440","7.2885","7.2885","7.2376","","-0.60%"
"01/23/2025","7.2880","7.2732","7.2887","7.2721","","0.21%"
"01/22/2025","7.2728","7.2717","7.2832","7.2648","","0.02%"
"01/21/2025","7.2712","7.2716","7.2869","7.2648","","-0.41%"
"01/20/2025","7.3010","7.3228","7.3239","7.3018","","-0.33%"
